Implantação do plano de ação;;;;;;
;;;;;;
;Análise dos dados Danos/Faltas;Roteirizador;Fotos no recebimento;Fotos na paletização;Fotos no carregamento;Acompanhamento por Câmeras
Araçatuba;100%;;;;;
Bauru;100%;;;;;
Dias Carapicuíba;100%;;;;;
Osasco Coleta;100%;;;;;
Praia Grande;100%;5%;90%;5%;5%;0%
Ribeirão Preto - SP;100%;;;;;
São Jose Dos Campos;100%;;;;;
Taboão da Serra ;100%;;;;;
São Bernardo do Campo;100%;5%;90%;5%;5%;0%
São Mateus;100%;;;;;
Sorocaba;100%;;;;;
Presidente Prudente;100%;;;;;
Barra Mansa - RJ;100%;;;;;
Campos dos Goytacazes - RJ;100%;;;;;
Duque de Caxias -RJ;100%;;;;;
Nova Friburgo - RJ;100%;;;;;
São Gonçalo - RJ;100%;;;;;
São Pedro da Aldeia - RJ;100%;;;;;
Campo Grande;100%;;;;;
Curitiba;100%;;;;;
Ponta Grossa;100%;;;;;
